Bundesland (Bundesländeratlas),Affiliation (Bundesländeratlas),Affiliation GERiT,Affiliation GERiT english,Affiliation RoR,RoR ID,GRID ID (Bundesländeratlas),GRID ID GERiT,Wikidata ID,DFG Instituts ID (GERiT),Straße (GERiT),Hausnummer (GERiT),Postfach (GERiT),Postleitzahl nach Ort (GERiT),Ort (GERiT),DESTATIS Fächerguppe (GERiT),DESTATIS Lehr- Forschungsbereich (GERiT),DESTATIS Fachgebiet (GERiT),Crossref ID 1 (GERiT),Crossref ID 2 (GERiT),Crossref ID 3 (GERiT),URL GERiT Nachweis (?),URL (Bundesländeratlas(,URL GERIT,"Typ (Universität; Hochschule
 Forschungsorganisation; Ressortforschung; 
 Vereinigung; Stiftung, Weitere) (Bundesländeratlas)",Typ GERIT,Typ GERIT english,OA-Webseite der Institution (Link) (Bundesländeratlas),Datumsstempel OA-Webseite (Bundesländeratlas),OA-Beauftragte/r (Bundesländeratlas),Link (Bundesländeratlas),Datumsstempel OA-beauftragte Person (Bundesländeratlas),Notes/Hinweise (Bundesländeratlas),"Ansprechperson (Bundesländeratlas)
 für Open Access",Link (Bundesländeratlas),Datumsstempel OA-Ansprechperson (Bundesländeratlas),"(Funktions)-
 Emailadresse (Bundesländeratlas)",OA-Policy (Bundesländeratlas),Datum der Policy (Bundesländeratlas),Policy Link (Bundesländeratlas),Notes/Hinweise zur Policy (Bundesländeratlas),OA-Leitlinien (Bundesländeratlas),Datum Leitlinien (Bundesländeratlas),Publikationsfonds (ja /nein) (Bundesländeratlas),Art der Finanzierung (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Zeitschriften",Link (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Monografien/Sammelbände",Publikationsfonds Link (Bundesländeratlas),Datumsstempel Publikationsfonds (Bundesländeratlas),Notes/Hinweise Publikationsfonds (Bundesländeratlas),Repositorium (Link) (Bundesländeratlas),Incentivierung /Preise (Bundesländeratlas),Berliner Erklärung (Bundesländeratlas),Datum Berliner Erklärung (Bundesländeratlas),OA2020 (Bundesländeratlas),Datum OA2020 (Bundesländeratlas),DORA (Institutionen) (Bundesländeratlas),DORA (Personen) (Bundesländeratlas),Jussieu-Appell (Bundesländeratlas),aktualisiert am (Bundesländeratlas)
Baden-Württemberg,Mathematisches Forschungsinstitut Oberwolfach gGmbH (MFO),Mathematisches Forschungsinstitut Oberwolfach gGmbH (MFO),Oberwolfach Research Institute for Mathematics (MFO),Mathematical Research Institute of Oberwolfach,https://ror.org/001zbj766,grid.429497.5,grid.429497.5,Q656142,12909,Schwarzwaldstraße,9-11,NA,77709,Oberwolfach,"Mathematik, Naturwissenschaften",Mathematik,Mathematik allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/12909,www.mfo.de/,www.mfo.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Baden-Württemberg,Max-Planck-Institut für Astronomie (MPIA),Max-Planck-Institut für Astronomie (MPIA),Max Planck Institute for Astronomy (MPIA),Max Planck Institute for Astronomy,https://ror.org/01vhnrs90,grid.429508.2,grid.429508.2,Q209610,10082,Königstuhl,17,NA,69117,Heidelberg,"Mathematik, Naturwissenschaften","Physik, Astronomie","Astronomie, Astrophysik",NA,NA,NA,http://www.gerit.org/de/institutiondetail/10082,www.mpia.de,www.mpia.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.mpia.de/de/services/bibliothek/open-access,01.03.2021,,,01.03.2021,keine Hinweise,Simone Kronenwett,www.mpia.de/de/services/bibliothek/open-access,01.03.2021,kronenwett@mpia.de <kronenwett@mpia.de>;,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Baden-Württemberg,Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht,Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht,Max Planck Institute for Comparative Public Law and International Law,Max Planck Institute for Comparative Public Law and International Law,https://ror.org/0515m2n86,grid.461768.a,grid.461768.a,NA,10083,Im Neuenheimer Feld,535,NA,69120,Heidelberg,"Rechts-, Wirtschafts- und Sozialwissenschaften",Rechtswissenschaften,Internationales Recht und Rechtsvergleichung,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10083,www.mpil.de,www.mpil.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,01.03.2021,,,01.03.2021,keine Hinweise,Dr. Harald Müller,openaccess.mpg.de/318587/MPG-Open-Access-Network,01.03.2021,hmueller@mpil.de,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Baden-Württemberg,Max-Planck-Institut für biologische Kybernetik,Max-Planck-Institut für biologische Kybernetik,Max Planck Institute for Biological Cybernetics,Max Planck Institute for Biological Cybernetics,https://ror.org/026nmvv73,grid.419501.8,grid.419501.8,Q1912104,10091,Max-Planck-Ring,8-14,NA,72076,Tübingen,Humanmedizin/Gesundheitswissenschaften,Klinisch-Praktische Humanmedizin (ohne Zahnmedizin),Neurologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10091,www.kyb.tuebingen.mpg.de,www.kyb.tuebingen.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,01.03.2021,,,01.03.2021,keine Hinweise,,,01.03.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Baden-Württemberg,Max-Planck-Institut für Entwicklungsbiologie,Max-Planck-Institut für Entwicklungsbiologie,Max Planck Institute for Developmental Biology,Max Planck Institute for Developmental Biology,https://ror.org/022jc0g24,grid.419495.4,grid.419495.4,Q1912065,10092,Max-Planck-Ring,5,NA,72076,Tübingen,"Mathematik, Naturwissenschaften",Biologie,Biologie allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10092,www.eb.tuebingen.mpg.de,www.eb.tuebingen.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,01.03.2021,,,01.03.2021,keine Hinweise,,,01.03.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Baden-Württemberg,Max-Planck-Institut für Festkörperforschung (MPI-FKF),Max-Planck-Institut für Festkörperforschung (MPI-FKF),Max Planck Institute for Solid State Research (MPI-FKF),Max Planck Institute for Solid State Research,https://ror.org/005bk2339,grid.419552.e,grid.419552.e,Q835529,10087,Heisenbergstraße,1,NA,70569,Stuttgart,"Mathematik, Naturwissenschaften","Physik, Astronomie",Festkörperphysik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10087,www.fkf.mpg.de/,www.fkf.mpg.de/,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.is.mpg.de/de/pages/bibliothek,01.03.2021,,,01.03.2021,keine Hinweise,Anja Graubner,www.is.mpg.de/de/pages/bibliothek,01.03.2021,bib@mpis.mpg.de <bib@mpis.mpg.de>;,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,Werner Marx,nein,01.03.2021
Baden-Württemberg,Max-Planck-Institut für Immunbiologie und Epigenetik,Max-Planck-Institut für Immunbiologie und Epigenetik,Max Planck Institute of Immunobiology and Epigenetics,Max Planck Institute for Heart and Lung Research,https://ror.org/0165r2y73,grid.429509.3,grid.429509.3,Q1912076,10081,Stübeweg,51,NA,79108,Freiburg,Humanmedizin/Gesundheitswissenschaften,Klinisch-Theoretische Humanmedizin (einschl. Zahnmedizin),Immunologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10081,www.ie-freiburg.mpg.de,www.ie-freiburg.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.ie-freiburg.mpg.de/4061248/Library,01.03.2021,,,01.03.2021,keine Hinweise,Rose Black,www.ie-freiburg.mpg.de/4061248/Library,01.03.2021,black@ie-freiburg.mpg.de <black@ie-freiburg.mpg.de>;,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Baden-Württemberg,Max-Planck-Institut für Intelligente Systeme,Max-Planck-Institut für Intelligente Systeme,Max Planck Institute for Intelligent Systems,Max Planck Institute for Intelligent Systems,https://ror.org/04fq9j139,grid.419534.e,grid.419534.e,Q1287942,10088,Heisenbergstraße,3,NA,70569,Stuttgart,Ingenieurwissenschaften,Informatik,Künstliche Intelligenz,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10088,www.is.mpg.de/,www.is.mpg.de/,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,01.03.2021,,,01.03.2021,keine Hinweise,,,01.03.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Baden-Württemberg,"Max-Planck-Institut für Intelligente Systeme, Standort Tübingen",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://www.mpg.de/forschung/institute/intelligente-systeme-tuebingen,,Forschungsorganisation: Max-Planck-Gesellschaft,,,,01.03.2021,,,01.03.2021,keine Hinweise,,,01.03.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Baden-Württemberg,Max-Planck-Institut für Kernphysik,Max-Planck-Institut für Kernphysik,Max Planck Institute for Nuclear Physics,Max Planck Institute for Nuclear Physics,https://ror.org/052d0h423,grid.419604.e,grid.419604.e,Q316653,10084,Saupfercheckweg,1,NA,69117,Heidelberg,"Mathematik, Naturwissenschaften","Physik, Astronomie",Kernphysik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10084,www.mpi-hd.mpg.de/mpi/de/start/,www.mpi-hd.mpg.de/mpi/de/start/,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www3.mpi-hd.mpg.de/mpi/en/bibliothek/open-access/,01.03.2021,,,01.03.2021,keine Hinweise,,,01.03.2021,library[at]mpi-hd.mpg.de,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Baden-Württemberg,Max-Planck-Institut für medizinische Forschung,Max-Planck-Institut für medizinische Forschung,Max Planck Institute for Medical Research,Max Planck Institute for Medical Research,https://ror.org/000bxzc63,grid.414703.5,grid.414703.5,Q324178,10085,Jahnstraße,29,NA,69120,Heidelberg,Humanmedizin/Gesundheitswissenschaften,Klinisch-Theoretische Humanmedizin (einschl. Zahnmedizin),Experimentelle Medizin/Medizinforschung (ohne klinische Medizin),NA,NA,NA,http://www.gerit.org/de/institutiondetail/10085,www.mr.mpg.de,www.mr.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.mr.mpg.de/14123639/openaccess,01.03.2021,,,01.03.2021,keine Hinweise,Tanja Müller,openaccess.mpg.de/318587/MPG-Open-Access-Network,01.03.2021,lib@mpimf-heidelberg.mpg.de,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Baden-Württemberg,Max-Planck-Institut für Verhaltensbiologie,Max-Planck-Institut für Verhaltensbiologie,Max Planck Institute of Animal Behavior,Max Planck Institute of Animal Behavior,https://ror.org/026stee22,grid.507516.0,grid.507516.0,Q73525350,434519351,Am Obstberg,1,NA,78315,Radolfzell,"Mathematik, Naturwissenschaften",Biologie,Biologie allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/434519351,www.ab.mpg.de/verhaltensbiologie,www.ab.mpg.de/verhaltensbiologie,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,01.03.2021,,,01.03.2021,keine Hinweise,,,01.03.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Baden-Württemberg,"Max-Planck-Institut zur Erforschung von Kriminalität, Sicherheit und Recht","Max-Planck-Institut zur Erforschung von Kriminalität, Sicherheit und Recht","Max Planck Institute for the Study of Crime, Security and Law",Max Planck Institute for Research on Collective Goods,https://ror.org/02x1q2477,grid.461774.7,grid.461774.7,Q1912116,10080,Günterstalstraße,73,NA,79100,Freiburg,"Rechts-, Wirtschafts- und Sozialwissenschaften",Rechtswissenschaften,Internationales Recht und Rechtsvergleichung,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10080,csl.mpg.de/de/,csl.mpg.de/de/,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,01.03.2021,,,01.03.2021,keine Hinweise,,,01.03.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Baden-Württemberg,Max-Planck-Stiftung für Internationalen Frieden und Rechtsstaatlichkeit,Max-Planck-Stiftung für Internationalen Frieden und Rechtsstaatlichkeit,Max Planck Foundation for International Peace and the Rule of Law,NA,NA,NA,NA,Q15834500,286444791,Bergheimer Straße,139-151,NA,69115,Heidelberg,"Rechts-, Wirtschafts- und Sozialwissenschaften","Rechts-, Wirtschafts- und Sozialwissenschaften allgemein","Interdisziplinäre Studien (Schwerpunkt Rechts-, Wirtschafts- und Sozialwissenschaften)",NA,NA,NA,http://www.gerit.org/de/institutiondetail/286444791,www.mpfpr.de/de/,www.mpfpr.de/de/,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baden-Württemberg,Ruprecht-Karls-Universität Heidelberg,Ruprecht-Karls-Universität Heidelberg,Heidelberg University,Heidelberg University,https://ror.org/038t36y30,grid.7700.0,grid.7700.0,NA,10047,Grabengasse,1,NA,69117,Heidelberg,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10047,,www.uni-heidelberg.de/,Universität,Universität,university,www.ub.uni-heidelberg.de/service/openaccess/Welcome.html,21.11.2020,Dr. Maria Effinger,www.ub.uni-heidelberg.de/allg/Mitarbeiter/effinger.html,21.11.2020,,Dr. Maria Effinger,www.ub.uni-heidelberg.de/service/openaccess/Welcome.html,21.11.2020,effinger@ub.uni-heidelberg.de,ja,02.2013,www.uni-heidelberg.de/de/universitaet/das-profil-der-universitaet-heidelberg/gute-wissenschaftliche-praxis/open-access-policy,,,,ja,DFG-Kofinanziert,ja,www.ub.uni-heidelberg.de/service/openaccess/publikationsfonds.html,nein,,21.11.2020,für 2020 ausgeschöpft,archiv.ub.uni-heidelberg.de/volltextserver/,,nein,,nein,,nein,"Lisa Baumann, Adrián Hernández Aguilera,li Han
 Victor Winter, Simon Anders, Leonie Hammer
 Julianna Patricia Varga, Mariya Chankova Bozhinova
 Tsvetina Kirilova Stoyanova, Julien Guizetti, Jia Zheng Woo
 Anthony Razov, Felix Mikus
 Martin A Ruetze, Gabriele Elisabeth Polerberg
 Rebecca Wade, Aneas Werner
 Michael Knop, Julian Alexander Stopp
 Ruprecht Kuner, Christina Hunger-Schoppe
 Ingrid Hoffmann, Christine Clayton
 Dirk Henner Lankenau
 Stephan Emanuel Kirchmaier
 Jonathan Sleeman
 Sebastian Schuck
 Miriam Staber
 H. Dariush Fahimi
 Martin H. Maurer",nein,21.11.2020
Baden-Württemberg,Universität Hohenheim,Universität Hohenheim,University of Hohenheim,University of Hohenheim,https://ror.org/00b1c9541,grid.9464.f,grid.9464.f,NA,10049,NA,NA,NA,70593,Stuttgart,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10049,,www.uni-hohenheim.de,Universität,Universität,university,kim.uni-hohenheim.de/95518,21.11.2020,,,21.11.2020,Kontaktformular: kim.uni-hohenheim.de/102571.html?tx_powermail_pi1[field][426]=Open%20Access&tx_powermail_pi1[field][431]=http:%2F%2Fkim.uni-hohenheim.de%2F95528,,,21.11.2020,,ja,08.03.2011,kim.uni-hohenheim.de/95528,,,,nein,,nein,,nein,,21.11.2020,keine Angabe zu Monografien/Sammelwerke,opus.uni-hohenheim.de/,,nein,,nein,,nein,Yvonne Ritze,nein,21.11.2020
Baden-Württemberg,Universität Konstanz,Universität Konstanz,University of Konstanz,University of Konstanz,https://ror.org/0546hnb39,grid.9811.1,grid.9811.1,NA,10053,Universitätsstraße,10,NA,78464,Konstanz,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10053,,www.uni-konstanz.de,Universität,Universität,university,www.kim.uni-konstanz.de/openscience/publizieren-und-open-access/,21.11.2020,Dr. Anja Oberländer,www.kim.uni-konstanz.de/openscience/team/,21.11.2020,,Dr. Anja Oberländer,www.kim.uni-konstanz.de/openscience/team/,21.11.2020,openscience@uni-konstanz.de,ja,,www.kim.uni-konstanz.de/openscience/publizieren-und-open-access/open-access-policy/,,,,ja,DFG-Kofinanziert,ja,www.kim.uni-konstanz.de/openscience/publizieren-und-open-access/open-access-publikationsfonds/,ja,www.kim.uni-konstanz.de/openscience/publizieren-und-open-access/open-access-publikationsfonds/,21.11.2020,,kops.uni-konstanz.de/,,ja,26.01.2012,nein,,nein,"Sebastian Wolf
 Britta Renner
 Anja Deutzmann
 Hesso Farhan",nein,21.11.2020
Baden-Württemberg,Universität Mannheim,Universität Mannheim,University of Mannheim,University of Mannheim,https://ror.org/031bsb921,grid.5601.2,grid.5601.2,NA,10045,Schloss,NA,NA,68131,Mannheim,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10045,,www.uni-mannheim.de,Universität,Universität,university,www.bib.uni-mannheim.de/publizieren-und-open-access/,21.11.2020,Dr. Philipp Zumstein,www.bib.uni-mannheim.de/philipp-zumstein/,21.11.2020,,Dr. Philipp Zumstein,www.bib.uni-mannheim.de/publizieren-und-open-access/,21.11.2020,philipp.zumstein@bib.uni-mannheim.de,ja,05.12.2017,www.bib.uni-mannheim.de/open-access-policy/,,,,ja,Kofonanziert durch MWK Baden-Wüttemberg; MZES und UB der Uni Mannheim,ja,www.bib.uni-mannheim.de/open-access-publikationsfonds/,nein,,21.11.2020,keine Angabe zu Monografien/Sammelwerke,madoc.bib.uni-mannheim.de/,,nein,,nein,,nein,"Eike Mark Rinke, 
 Jens Eder, 
 Matthias Kohring",nein,21.11.2020
Baden-Württemberg,Universität Stuttgart,Universität Stuttgart,University of Stuttgart,University of Stuttgart,https://ror.org/04vnq7t77,grid.5719.a,grid.5719.a,NA,10059,NA,NA,Postfach 106037,70049,Stuttgart,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10059,,www.uni-stuttgart.de/home/,Universität,Universität,university,oa.uni-stuttgart.de/,21.11.2020,Stefan Drößler,www.ub.uni-stuttgart.de/mitarbeiter/Droessler-M.-A./,21.11.2020,,Stefan Drößler,oa.uni-stuttgart.de/publizieren/fonds/,21.11.2020,stefan.droessler@ub.uni-stuttgart.de,ja,28.02.2011,oa.uni-stuttgart.de/oa/oa-policy.html,,,,ja,DFG-Kofinanziert; MWK Baden-Wüttemberg; Eigenanteil der Uni;,ja,oa.uni-stuttgart.de/publizieren/fonds/,nein,,21.11.2020,keine Angabe zu Monografien/Sammelwerke,elib.uni-stuttgart.de/,,nein,,nein,,nein,"Ingrid M. Weiss, 
 Dieter Bubeck, Dieter H. Wolf, Cristiana Lungu, Aian Juan, 
 Stefan Wagner, Ira Richling,",nein,21.11.2020
Baden-Württemberg,Universität Tübingen,Eberhard Karls Universität Tübingen,University of Tübingen,University of Tübingen,https://ror.org/03a1kwz48,grid.10392.39,grid.10392.39,NA,10051,Geschwister-Scholl-Platz,NA,NA,72074,Tübingen,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10051,,www.uni-tuebingen.de,Universität,Universität,university,uni-tuebingen.de/einrichtungen/universitaetsbibliothek/publizieren-forschen/open-access/,20.11.2020,,,20.11.2020,keine Hinweise,Ute Grimmel-Holzwarth,uni-tuebingen.de/einrichtungen/universitaetsbibliothek/publizieren-forschen/publizieren/open-access-wir-unterstuetzen-sie/#c568600,20.11.2020,openaccess@ub.uni-tuebingen.de,ja,21.02.2013,uni-tuebingen.de/einrichtungen/universitaetsbibliothek/publizieren-forschen/open-access/open-access-policy-der-universitaet-tuebingen/,,,,ja,Eigenmittel und Landesfond aus Förderprogramm BW-BigDIWA,ja,uni-tuebingen.de/einrichtungen/universitaetsbibliothek/publizieren-forschen/open-access/open-access-publikationsfonds/,nein,,20.11.2020,keine Angabe zu Monografien/Sammelwerke,publikationen.uni-tuebingen.de/xmlui/handle/10900/42126,,nein,,nein,,nein,"Bernd Nürnberg, Jörg Strübing, 
 Ursula Offenberger, Michael Paolillo",nein,20.11.2020
Baden-Württemberg,Universität Ulm,Universität Ulm,Ulm University of Applied Sciences,University of Ulm,https://ror.org/032000t02,grid.6582.9,grid.6582.9,NA,10057,Helmholtzstraße,16,NA,89081,Ulm,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10057,,www.uni-ulm.de/,Universität,Universität,university,www.uni-ulm.de/einrichtungen/kiz/service-katalog/wid/publikationsmanagement/oap/,21.11.2020,Uli Hahn,www.uni-ulm.de/index.php?id=1358,21.11.2020,,Uli Hahn,www.uni-ulm.de/index.php?id=1358,21.11.2020,uli.hahn@uni-ulm.de,ja,03.05.2012,www.uni-ulm.de/einrichtungen/kiz/service-katalog/wid/publikationsmanagement/oap/open-access-resolution/,,,,ja,"Eigenmittel, medizinische und nicht-medizinische Fonds",ja,www.uni-ulm.de/einrichtungen/kiz/service-katalog/wid/publikationsmanagement/oap/oa-foerderung/,nein,,21.11.2020,keine Angabe zu Monografien/Sammelwerke,oparu.uni-ulm.de/xmlui/,,ja,11.05.2012,nein,ja,"ja, Medizinische Psychologie","Dorothea Kesztyues, Harald C.Traue, Hans Peter Katzmann, 
 Maria Cederlund, Jan Peter Tuckermann, Paul Dietl, Manfred Frick, 
 Michael Noll-Hussong",nein,21.11.2020
Baden-Württemberg,NA,Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO),Fraunhofer Institute for Industrial Engineering (IAO),NA,NA,NA,grid.434477.7,NA,10094,Nobelstraße,12,NA,70569,Stuttgart,"Rechts-, Wirtschafts- und Sozialwissenschaften",Wirtschaftswissenschaften,Arbeitslehre/-wissenschaft,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10094,,www.iao.fraunhofer.de/lang-de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
